X_param,Y
"(2, 43)","[0.00012328, 0.02110573]"
"(2, 44)","[0.00012328, 0.01109714]"
"(3, 0)","[0.00084811, 0.02110573]"
"(3, 1)","[0.01109714, 0.04014114]"
"(3, 2)","[0.00012328, 0.04014114]"
"(3, 3)","[0.00044593, 0.01109714]"
"(3, 4)","[0.00012328, 0.00161303]"
"(3, 5)","[0.00023446, 0.02110573]"
"(3, 6)","[0.00583474, 0.04014114]"
"(3, 7)","[0.00044593, 0.02110573]"
"(3, 8)","[0.00044593, 0.02110573]"
"(3, 9)","[0.00023446, 0.02110573]"
"(3, 10)","[0.00084811, 0.02110573]"
"(3, 11)","[0.00012328, 0.02110573]"
"(3, 12)","[0.00012328, 0.02110573]"
"(3, 13)","[0.00084811, 0.02110573]"
"(3, 14)","[0.00583474, 0.14520056]"
"(3, 15)","[0.00023446, 0.02110573]"
"(3, 16)","[0.00044593, 0.01109714]"
"(3, 17)","[0.00012328, 0.02110573]"
"(3, 18)","[0.00012328, 0.02110573]"
"(3, 19)","[0.00044593, 0.02110573]"
"(3, 20)","[0.00012328, 0.02110573]"
"(3, 21)","[0.00023446, 0.04014114]"
"(3, 22)","[0.00084811, 0.02110573]"
"(3, 23)","[0.00044593, 0.02110573]"
"(3, 24)","[0.00023446, 0.02110573]"
"(3, 25)","[0.00583474, 0.07634472]"
"(3, 26)","[0.00583474, 0.04014114]"
"(3, 27)","[0.00583474, 0.04014114]"
"(3, 28)","[0.00583474, 0.04014114]"
"(3, 29)","[0.00012328, 0.01109714]"
"(3, 30)","[0.00023446, 0.04014114]"
"(3, 31)","[0.00023446, 0.02110573]"
"(3, 32)","[0.00044593, 0.02110573]"
"(3, 33)","[0.01109714, 0.07634472]"
"(3, 34)","[0.00583474, 0.02110573]"
"(3, 35)","[0.00012328, 0.02110573]"
"(3, 36)","[0.00012328, 0.00084811]"
"(3, 37)","[0.00023446, 0.02110573]"
"(3, 38)","[0.01109714, 0.04014114]"
"(3, 39)","[0.00012328, 0.02110573]"
"(3, 40)","[0.00044593, 0.02110573]"
"(3, 41)","[0.00023446, 0.02110573]"
"(3, 42)","[0.00044593, 0.02110573]"
"(3, 43)","[0.00023446, 0.02110573]"
"(3, 44)","[0.00012328, 0.02110573]"
"(4, 0)","[0.00044593, 0.02110573]"
"(4, 1)","[0.00161303, 0.02110573]"
"(4, 2)","[0.00161303, 0.02110573]"
"(4, 3)","[0.01109714, 0.07634472]"
"(4, 4)","[0.00012328, 0.00583474]"
"(4, 5)","[0.00023446, 0.02110573]"
"(4, 6)","[0.01109714, 0.14520056]"
"(4, 7)","[0.00012328, 0.02110573]"
"(4, 8)","[0.01109714, 0.14520056]"
"(4, 9)","[0.00012328, 0.02110573]"
"(4, 10)","[0.00044593, 0.02110573]"
"(4, 11)","[0.00084811, 0.02110573]"
"(4, 12)","[0.01109714, 0.07634472]"
"(4, 13)","[0.00044593, 0.02110573]"
"(4, 14)","[0.01109714, 0.52522685]"
"(4, 15)","[0.00161303, 0.02110573]"
"(4, 16)","[0.00023446, 0.02110573]"
"(4, 17)","[0.00084811, 0.02110573]"
"(4, 18)","[0.00023446, 0.02110573]"
"(4, 19)","[0.00044593, 0.02110573]"
"(4, 20)","[0.00084811, 0.02110573]"
"(4, 21)","[0.00023446, 0.02110573]"
"(4, 22)","[0.00012328, 0.01109714]"
"(4, 23)","[0.00012328, 0.02110573]"
"(4, 24)","[0.00023446, 0.02110573]"
"(4, 25)","[0.00044593, 0.02110573]"
"(4, 26)","[0.00044593, 0.02110573]"
"(4, 27)","[0.00023446, 0.02110573]"
"(4, 28)","[0.00012328, 0.02110573]"
"(4, 29)","[0.00012328, 0.02110573]"
"(4, 30)","[0.00012328, 0.02110573]"
"(4, 31)","[0.00012328, 0.02110573]"
"(4, 32)","[0.00044593, 0.02110573]"
"(4, 33)","[0.01109714, 0.99893269]"
"(4, 34)","[0.00012328, 0.02110573]"
"(4, 35)","[0.00023446, 0.02110573]"
"(4, 36)","[0.00012328, 0.01109714]"
"(4, 37)","[0.00023446, 0.02110573]"
"(4, 38)","[0.01109714, 0.52522685]"
"(4, 39)","[0.00044593, 0.02110573]"
"(4, 40)","[0.00084811, 0.02110573]"
"(4, 41)","[0.00012328, 0.02110573]"
"(4, 42)","[0.01109714, 0.99893269]"
"(4, 43)","[0.00012328, 0.02110573]"
"(4, 44)","[0.00012328, 0.02110573]"
"(5, 0)","[0.00012328, 0.01109714]"
"(5, 1)","[0.00012328, 0.00044593]"
"(5, 2)","[0.00012328, 0.00012328]"
"(5, 3)","[0.00012328, 0.01109714]"
"(5, 4)","[0.00012328, 0.00012328]"
"(5, 5)","[0.00012328, 0.01109714]"
"(5, 6)","[0.00012328, 0.01109714]"
"(5, 7)","[0.00012328, 0.01109714]"
"(5, 8)","[0.00012328, 0.01109714]"
"(5, 9)","[0.00012328, 0.00306784]"
"(5, 10)","[0.00012328, 0.01109714]"
"(5, 11)","[0.00012328, 0.01109714]"
"(5, 12)","[0.00012328, 0.01109714]"
"(5, 13)","[0.00012328, 0.00306784]"
"(5, 14)","[0.00012328, 0.01109714]"
"(5, 15)","[0.00012328, 0.00583474]"
"(5, 16)","[0.00012328, 0.00583474]"
"(5, 17)","[0.00012328, 0.00012328]"
"(5, 18)","[0.00012328, 0.00084811]"
"(5, 19)","[0.00012328, 0.01109714]"
"(5, 20)","[0.00012328, 0.00023446]"
"(5, 21)","[0.00012328, 0.00583474]"
"(5, 22)","[0.00012328, 0.00583474]"
"(5, 23)","[0.00012328, 0.00306784]"
"(5, 24)","[0.00012328, 0.01109714]"
"(5, 25)","[0.00012328, 0.00306784]"
"(5, 26)","[0.00012328, 0.00583474]"
"(5, 27)","[0.00012328, 0.00583474]"
"(5, 28)","[0.00012328, 0.00161303]"
"(5, 29)","[0.00012328, 0.01109714]"
"(5, 30)","[0.00012328, 0.00306784]"
"(5, 31)","[0.00012328, 0.00161303]"
"(5, 32)","[0.00012328, 0.01109714]"
"(5, 33)","[0.00012328, 0.01109714]"
"(5, 34)","[0.00012328, 0.01109714]"
"(5, 35)","[0.00012328, 0.00583474]"
"(5, 36)","[0.00012328, 0.00023446]"
"(5, 37)","[0.00012328, 0.00044593]"
"(5, 38)","[0.00012328, 0.02110573]"
"(5, 39)","[0.00012328, 0.00012328]"
"(5, 40)","[0.00012328, 0.00583474]"
"(5, 41)","[0.00012328, 0.01109714]"
"(5, 42)","[0.00012328, 0.00012328]"
"(5, 43)","[0.00012328, 0.01109714]"
"(5, 44)","[0.00012328, 0.00161303]"
"(6, 0)","[0.00012328, 0.00583474]"
"(6, 1)","[0.00306784, 0.14520056]"
"(6, 2)","[0.00012328, 0.00583474]"
"(6, 3)","[0.00012328, 0.00583474]"
"(6, 4)","[0.00012328, 0.00306784]"
"(6, 5)","[0.00012328, 0.01109714]"
"(6, 6)","[0.00012328, 0.00583474]"
"(6, 7)","[0.00012328, 0.01109714]"
"(6, 8)","[0.00583474, 0.07634472]"
"(6, 9)","[0.00012328, 0.00583474]"
"(6, 10)","[0.00023446, 0.00583474]"
"(6, 11)","[0.00012328, 0.00583474]"
"(6, 12)","[0.00012328, 0.00583474]"
"(6, 13)","[0.00012328, 0.00306784]"
"(6, 14)","[0.00012328, 0.01109714]"
"(6, 15)","[0.00012328, 0.01109714]"
"(6, 16)","[0.00012328, 0.00583474]"
"(6, 17)","[0.00583474, 0.04014114]"
"(6, 18)","[0.00012328, 0.00583474]"
"(6, 19)","[0.00012328, 0.00583474]"
"(6, 20)","[0.00012328, 0.00084811]"
"(6, 21)","[0.00012328, 0.00583474]"
"(6, 22)","[0.00012328, 0.00583474]"
"(6, 23)","[0.00023446, 0.00583474]"
